issue_id,study_id,protocol_id,study_title,source_table,record_id,rule_name,issue_severity,issue_description
subjects-SUBJ0337-02,STUDY022,RHEUM-2023-022,Medication Safety for Technology-Enabled Care Delivery,subjects,SUBJ0337,Enrolled Ineligible Subject,High,Subject is enrolled or active while marked ineligible.
subjects-SUBJ0338-02,STUDY099,RHEUM-2024-099,Medication Safety for Technology-Enabled Care Delivery,subjects,SUBJ0338,Enrolled Ineligible Subject,High,Subject is enrolled or active while marked ineligible.
subjects-SUBJ0349-02,STUDY079,RHEUM-2023-079,Infection Prevention Among Patients With Inflammatory Arthritis,subjects,SUBJ0349,Enrolled Ineligible Subject,High,Subject is enrolled or active while marked ineligible.
subjects-SUBJ0350-02,STUDY062,RHEUM-2023-062,Pragmatic Care Delivery for Inflammatory Arthritis,subjects,SUBJ0350,Enrolled Ineligible Subject,High,Subject is enrolled or active while marked ineligible.
subjects-SUBJ0357-02,STUDY023,RHEUM-2025-023,Digital Workflow for Osteoporosis,subjects,SUBJ0357,Enrolled Ineligible Subject,High,Subject is enrolled or active while marked ineligible.
subjects-SUBJ0364-02,STUDY076,RHEUM-2024-076,Telemedicine Follow-Up in Technology-Enabled Care Delivery,subjects,SUBJ0364,Enrolled Ineligible Subject,High,Subject is enrolled or active while marked ineligible.
subjects-SUBJ0398-02,STUDY061,RHEUM-2025-061,Infection Prevention Among Patients With Polypharmacy Monitoring,subjects,SUBJ0398,Enrolled Ineligible Subject,High,Subject is enrolled or active while marked ineligible.
subjects-SUBJ0402-02,STUDY018,RHEUM-2025-018,Medication Safety for Lupus,subjects,SUBJ0402,Enrolled Ineligible Subject,High,Subject is enrolled or active while marked ineligible.
subjects-SUBJ0415-02,STUDY036,RHEUM-2024-036,Digital Workflow for Osteoporosis,subjects,SUBJ0415,Enrolled Ineligible Subject,High,Subject is enrolled or active while marked ineligible.
subjects-SUBJ0427-02,STUDY029,RHEUM-2023-029,Pragmatic Care Delivery for Inflammatory Arthritis,subjects,SUBJ0427,Enrolled Ineligible Subject,High,Subject is enrolled or active while marked ineligible.
subjects-SUBJ0441-02,STUDY003,RHEUM-2025-003,Medication Safety for Telemedicine Follow-Up,subjects,SUBJ0441,Enrolled Ineligible Subject,High,Subject is enrolled or active while marked ineligible.
subjects-SUBJ0453-02,STUDY033,RHEUM-2023-033,Comparative Effectiveness in Osteoporosis,subjects,SUBJ0453,Enrolled Ineligible Subject,High,Subject is enrolled or active while marked ineligible.
subjects-SUBJ0454-02,STUDY023,RHEUM-2025-023,Digital Workflow for Osteoporosis,subjects,SUBJ0454,Enrolled Ineligible Subject,High,Subject is enrolled or active while marked ineligible.
subjects-SUBJ0474-02,STUDY013,RHEUM-2023-013,Polypharmacy Monitoring for Telemedicine Follow-Up,subjects,SUBJ0474,Enrolled Ineligible Subject,High,Subject is enrolled or active while marked ineligible.
subjects-SUBJ0496-02,STUDY097,RHEUM-2022-097,Digital Workflow for Technology-Enabled Care Delivery,subjects,SUBJ0496,Enrolled Ineligible Subject,High,Subject is enrolled or active while marked ineligible.
subjects-SUBJ0033-03,STUDY072,RHEUM-2023-072,Polypharmacy Monitoring for Technology-Enabled Care Delivery,subjects,SUBJ0033,Missing Withdrawal Reason,Medium,Withdrawn subject is missing a usable withdrawal reason.
subjects-SUBJ0052-03,STUDY037,RHEUM-2022-037,Patient Education Strategies for Technology-Enabled Care Delivery,subjects,SUBJ0052,Missing Withdrawal Reason,Medium,Withdrawn subject is missing a usable withdrawal reason.
subjects-SUBJ0188-03,STUDY036,RHEUM-2024-036,Digital Workflow for Osteoporosis,subjects,SUBJ0188,Missing Withdrawal Reason,Medium,Withdrawn subject is missing a usable withdrawal reason.
subjects-SUBJ0191-03,STUDY039,RHEUM-2023-039,Comparative Effectiveness in Lupus,subjects,SUBJ0191,Missing Withdrawal Reason,Medium,Withdrawn subject is missing a usable withdrawal reason.
subjects-SUBJ0194-03,STUDY048,RHEUM-2023-048,Pragmatic Care Delivery for Technology-Enabled Care Delivery,subjects,SUBJ0194,Missing Withdrawal Reason,Medium,Withdrawn subject is missing a usable withdrawal reason.
subjects-SUBJ0210-03,STUDY080,RHEUM-2022-080,Infection Prevention Among Patients With Lupus,subjects,SUBJ0210,Missing Withdrawal Reason,Medium,Withdrawn subject is missing a usable withdrawal reason.
subjects-SUBJ0286-03,STUDY046,RHEUM-2024-046,Digital Workflow for Infection Prevention,subjects,SUBJ0286,Missing Withdrawal Reason,Medium,Withdrawn subject is missing a usable withdrawal reason.
subjects-SUBJ0339-03,STUDY012,RHEUM-2025-012,Digital Workflow for Rheumatoid Arthritis,subjects,SUBJ0339,Missing Withdrawal Reason,Medium,Withdrawn subject is missing a usable withdrawal reason.
subjects-SUBJ0361-03,STUDY079,RHEUM-2023-079,Infection Prevention Among Patients With Inflammatory Arthritis,subjects,SUBJ0361,Missing Withdrawal Reason,Medium,Withdrawn subject is missing a usable withdrawal reason.
subjects-SUBJ0472-03,STUDY047,RHEUM-2023-047,Medication Safety for Technology-Enabled Care Delivery,subjects,SUBJ0472,Missing Withdrawal Reason,Medium,Withdrawn subject is missing a usable withdrawal reason.
grants-GRANT005-01,STUDY001,RHEUM-2022-001,Pragmatic Care Delivery for Polypharmacy Monitoring,grants,GRANT005,Invalid Funding Amount,High,Funding amount is negative.
grants-GRANT011-01,STUDY051,RHEUM-2022-051,Comparative Effectiveness in Gout,grants,GRANT011,Invalid Funding Amount,High,Funding amount is negative.
grants-GRANT012-01,STUDY070,RHEUM-2022-070,Medication Safety for Osteoporosis,grants,GRANT012,Invalid Funding Amount,High,Funding amount is negative.
grants-GRANT015-01,STUDY024,RHEUM-2023-024,Care Coordination in Rheumatoid Arthritis,grants,GRANT015,Invalid Funding Amount,High,Funding amount is negative.
grants-GRANT033-01,STUDY018,RHEUM-2025-018,Medication Safety for Lupus,grants,GRANT033,Invalid Funding Amount,High,Funding amount is negative.
grants-GRANT034-01,STUDY024,RHEUM-2023-024,Care Coordination in Rheumatoid Arthritis,grants,GRANT034,Invalid Funding Amount,High,Funding amount is negative.
grants-GRANT051-01,STUDY062,RHEUM-2023-062,Pragmatic Care Delivery for Inflammatory Arthritis,grants,GRANT051,Invalid Funding Amount,High,Funding amount is negative.
grants-GRANT007-02,STUDY012,RHEUM-2025-012,Digital Workflow for Rheumatoid Arthritis,grants,GRANT007,Invalid JIT Status,Medium,JIT is required but the JIT status is missing or marked Not Required.
grants-GRANT018-02,STUDY084,RHEUM-2023-084,Telemedicine Follow-Up in Technology-Enabled Care Delivery,grants,GRANT018,Invalid JIT Status,Medium,JIT is required but the JIT status is missing or marked Not Required.
grants-GRANT019-02,STUDY079,RHEUM-2023-079,Infection Prevention Among Patients With Inflammatory Arthritis,grants,GRANT019,Invalid JIT Status,Medium,JIT is required but the JIT status is missing or marked Not Required.
grants-GRANT026-02,STUDY060,RHEUM-2024-060,Digital Workflow for Inflammatory Arthritis,grants,GRANT026,Invalid JIT Status,Medium,JIT is required but the JIT status is missing or marked Not Required.
grants-GRANT027-02,STUDY088,RHEUM-2024-088,Telemedicine Follow-Up in Rheumatoid Arthritis,grants,GRANT027,Invalid JIT Status,Medium,JIT is required but the JIT status is missing or marked Not Required.
grants-GRANT028-02,STUDY094,RHEUM-2023-094,Remote Monitoring for Gout,grants,GRANT028,Invalid JIT Status,Medium,JIT is required but the JIT status is missing or marked Not Required.
grants-GRANT030-02,STUDY006,RHEUM-2025-006,Telemedicine Follow-Up in Telemedicine Follow-Up,grants,GRANT030,Invalid JIT Status,Medium,JIT is required but the JIT status is missing or marked Not Required.
grants-GRANT031-02,STUDY084,RHEUM-2023-084,Telemedicine Follow-Up in Technology-Enabled Care Delivery,grants,GRANT031,Invalid JIT Status,Medium,JIT is required but the JIT status is missing or marked Not Required.
grants-GRANT041-02,STUDY077,RHEUM-2025-077,Infection Prevention Among Patients With Polypharmacy Monitoring,grants,GRANT041,Invalid JIT Status,Medium,JIT is required but the JIT status is missing or marked Not Required.
grants-GRANT049-02,STUDY041,RHEUM-2023-041,Polypharmacy Monitoring for Gout,grants,GRANT049,Invalid JIT Status,Medium,JIT is required but the JIT status is missing or marked Not Required.
grants-GRANT050-02,STUDY047,RHEUM-2023-047,Medication Safety for Technology-Enabled Care Delivery,grants,GRANT050,Invalid JIT Status,Medium,JIT is required but the JIT status is missing or marked Not Required.
grants-GRANT059-02,STUDY022,RHEUM-2023-022,Medication Safety for Technology-Enabled Care Delivery,grants,GRANT059,Invalid JIT Status,Medium,JIT is required but the JIT status is missing or marked Not Required.
milestones-MILE004-01,STUDY015,RHEUM-2023-015,Pragmatic Care Delivery for Inflammatory Arthritis,milestones,MILE004,Completed Milestone Missing Actual Date,High,Milestone is completed but actual date is missing.
milestones-MILE090-01,STUDY016,RHEUM-2025-016,Patient Education Strategies for Gout,milestones,MILE090,Completed Milestone Missing Actual Date,High,Milestone is completed but actual date is missing.
milestones-MILE144-01,STUDY017,RHEUM-2022-017,Remote Monitoring for Gout,milestones,MILE144,Completed Milestone Missing Actual Date,High,Milestone is completed but actual date is missing.
milestones-MILE104-01,STUDY020,RHEUM-2023-020,Polypharmacy Monitoring for Lupus,milestones,MILE104,Completed Milestone Missing Actual Date,High,Milestone is completed but actual date is missing.
milestones-MILE150-01,STUDY030,RHEUM-2022-030,Remote Monitoring for Technology-Enabled Care Delivery,milestones,MILE150,Completed Milestone Missing Actual Date,High,Milestone is completed but actual date is missing.
milestones-MILE141-01,STUDY038,RHEUM-2022-038,Telemedicine Follow-Up in Telemedicine Follow-Up,milestones,MILE141,Completed Milestone Missing Actual Date,High,Milestone is completed but actual date is missing.
milestones-MILE024-01,STUDY049,RHEUM-2025-049,Polypharmacy Monitoring for Polypharmacy Monitoring,milestones,MILE024,Completed Milestone Missing Actual Date,High,Milestone is completed but actual date is missing.
milestones-MILE133-01,STUDY062,RHEUM-2023-062,Pragmatic Care Delivery for Inflammatory Arthritis,milestones,MILE133,Completed Milestone Missing Actual Date,High,Milestone is completed but actual date is missing.
milestones-MILE018-01,STUDY080,RHEUM-2022-080,Infection Prevention Among Patients With Lupus,milestones,MILE018,Completed Milestone Missing Actual Date,High,Milestone is completed but actual date is missing.
milestones-MILE073-01,STUDY090,RHEUM-2023-090,Digital Workflow for Lupus,milestones,MILE073,Completed Milestone Missing Actual Date,High,Milestone is completed but actual date is missing.
milestones-MILE052-01,STUDY098,RHEUM-2024-098,Patient Education Strategies for Gout,milestones,MILE052,Completed Milestone Missing Actual Date,High,Milestone is completed but actual date is missing.
