study_id,protocol_id,study_title,condition_area,study_status,target_accrual,total_subjects_enrolled,accrual_rate,pending_jit_count,delayed_milestone_count,high_severity_dq_count,total_dq_issue_count,days_to_completion,risk_score,risk_level,risk_reason_summary
STUDY017,RHEUM-2022-017,Remote Monitoring for Gout,gout,Pending Activation,161,8,0.0497,0,1,3,3,26,95,High,Low accrual; Delayed milestones; High-severity data quality issues; Completion date approaching
STUDY018,RHEUM-2025-018,Medication Safety for Lupus,lupus,Completed,248,8,0.0323,0,0,3,3,-149,75,High,Low accrual; High-severity data quality issues; Completion date approaching
STUDY019,RHEUM-2022-019,Comparative Effectiveness in Technology-Enabled Care Delivery,technology-enabled care delivery,Active,246,3,0.0122,0,1,0,0,-919,75,High,Low accrual; Delayed milestones; Completion date approaching
STUDY020,RHEUM-2023-020,Polypharmacy Monitoring for Lupus,lupus,Completed,276,5,0.0181,0,3,2,2,-599,95,High,Low accrual; Delayed milestones; High-severity data quality issues; Completion date approaching
STUDY021,RHEUM-2025-021,Remote Monitoring for Polypharmacy Monitoring,polypharmacy monitoring,Completed,248,2,0.0081,0,1,0,0,-816,75,High,Low accrual; Delayed milestones; Completion date approaching
STUDY022,RHEUM-2023-022,Medication Safety for Technology-Enabled Care Delivery,technology-enabled care delivery,Pending Activation,186,5,0.0269,1,0,1,2,82,95,High,Low accrual; Pending JIT; High-severity data quality issues; Completion date approaching
STUDY023,RHEUM-2025-023,Digital Workflow for Osteoporosis,osteoporosis,Pending Activation,65,4,0.0615,0,0,3,3,175,60,Medium,Low accrual; High-severity data quality issues
STUDY024,RHEUM-2023-024,Care Coordination in Rheumatoid Arthritis,rheumatoid arthritis,Completed,101,2,0.0198,0,2,2,2,280,80,High,Low accrual; Delayed milestones; High-severity data quality issues
STUDY025,RHEUM-2022-025,Comparative Effectiveness in Chronic Inflammatory Disease,chronic inflammatory disease,Pending Activation,200,5,0.025,0,2,1,1,14,95,High,Low accrual; Delayed milestones; High-severity data quality issues; Completion date approaching
STUDY026,RHEUM-2025-026,Digital Workflow for Osteoporosis,osteoporosis,Active,91,3,0.033,0,0,0,0,-645,55,Medium,Low accrual; Completion date approaching
STUDY027,RHEUM-2023-027,Medication Safety for Polypharmacy Monitoring,polypharmacy monitoring,Pending Activation,120,6,0.05,0,1,0,0,-704,75,High,Low accrual; Delayed milestones; Completion date approaching
STUDY028,RHEUM-2024-028,Polypharmacy Monitoring for Chronic Inflammatory Disease,chronic inflammatory disease,Active,175,3,0.0171,0,1,1,1,49,95,High,Low accrual; Delayed milestones; High-severity data quality issues; Completion date approaching
STUDY029,RHEUM-2023-029,Pragmatic Care Delivery for Inflammatory Arthritis,inflammatory arthritis,Pending Activation,290,5,0.0172,0,1,1,1,-1059,95,High,Low accrual; Delayed milestones; High-severity data quality issues; Completion date approaching
STUDY030,RHEUM-2022-030,Remote Monitoring for Technology-Enabled Care Delivery,technology-enabled care delivery,Pending Activation,266,2,0.0075,0,1,1,1,-838,95,High,Low accrual; Delayed milestones; High-severity data quality issues; Completion date approaching
STUDY031,RHEUM-2022-031,Medication Safety for Gout,gout,Closed to Accrual,115,2,0.0174,0,1,1,1,162,80,High,Low accrual; Delayed milestones; High-severity data quality issues
STUDY032,RHEUM-2022-032,Remote Monitoring for Inflammatory Arthritis,inflammatory arthritis,Active,248,2,0.0081,0,1,1,1,-751,95,High,Low accrual; Delayed milestones; High-severity data quality issues; Completion date approaching
STUDY033,RHEUM-2023-033,Comparative Effectiveness in Osteoporosis,osteoporosis,Suspended,167,4,0.024,1,0,1,1,25,95,High,Low accrual; Pending JIT; High-severity data quality issues; Completion date approaching
STUDY034,RHEUM-2022-034,Infection Prevention Among Patients With Technology-Enabled Care Delivery,technology-enabled care delivery,Pending Activation,156,7,0.0449,1,1,0,0,-695,95,High,Low accrual; Pending JIT; Delayed milestones; Completion date approaching
STUDY035,RHEUM-2023-035,Digital Workflow for Technology-Enabled Care Delivery,technology-enabled care delivery,Closed to Accrual,209,2,0.0096,0,0,0,0,-924,55,Medium,Low accrual; Completion date approaching
STUDY036,RHEUM-2024-036,Digital Workflow for Osteoporosis,osteoporosis,Pending Activation,200,6,0.03,0,0,2,3,-1572,75,High,Low accrual; High-severity data quality issues; Completion date approaching
STUDY037,RHEUM-2022-037,Patient Education Strategies for Technology-Enabled Care Delivery,technology-enabled care delivery,Active,140,2,0.0143,0,0,0,1,109,40,Medium,Low accrual
STUDY038,RHEUM-2022-038,Telemedicine Follow-Up in Telemedicine Follow-Up,telemedicine follow-up,Suspended,246,1,0.0041,0,1,1,1,-218,95,High,Low accrual; Delayed milestones; High-severity data quality issues; Completion date approaching
STUDY039,RHEUM-2023-039,Comparative Effectiveness in Lupus,lupus,Suspended,40,6,0.15,0,3,1,2,325,80,High,Low accrual; Delayed milestones; High-severity data quality issues
STUDY040,RHEUM-2023-040,Pragmatic Care Delivery for Technology-Enabled Care Delivery,technology-enabled care delivery,Suspended,149,8,0.0537,0,2,1,1,-489,95,High,Low accrual; Delayed milestones; High-severity data quality issues; Completion date approaching
STUDY041,RHEUM-2023-041,Polypharmacy Monitoring for Gout,gout,Completed,198,4,0.0202,1,1,0,1,126,80,High,Low accrual; Pending JIT; Delayed milestones
STUDY042,RHEUM-2023-042,Patient Education Strategies for Rheumatoid Arthritis,rheumatoid arthritis,Suspended,139,5,0.036,0,2,1,1,-741,95,High,Low accrual; Delayed milestones; High-severity data quality issues; Completion date approaching
STUDY043,RHEUM-2025-043,Medication Safety for Technology-Enabled Care Delivery,technology-enabled care delivery,Completed,277,4,0.0144,0,0,0,0,415,40,Medium,Low accrual
STUDY044,RHEUM-2023-044,Medication Safety for Gout,gout,Suspended,298,3,0.0101,0,0,0,0,-732,55,Medium,Low accrual; Completion date approaching
STUDY045,RHEUM-2025-045,Infection Prevention Among Patients With Osteoporosis,osteoporosis,Pending Activation,288,8,0.0278,0,1,0,0,30,75,High,Low accrual; Delayed milestones; Completion date approaching
STUDY046,RHEUM-2024-046,Digital Workflow for Infection Prevention,infection prevention,Pending Activation,81,2,0.0247,1,1,0,1,123,80,High,Low accrual; Pending JIT; Delayed milestones
STUDY047,RHEUM-2023-047,Medication Safety for Technology-Enabled Care Delivery,technology-enabled care delivery,Suspended,278,2,0.0072,1,2,0,2,-967,95,High,Low accrual; Pending JIT; Delayed milestones; Completion date approaching
STUDY048,RHEUM-2023-048,Pragmatic Care Delivery for Technology-Enabled Care Delivery,technology-enabled care delivery,Suspended,220,5,0.0227,0,0,1,2,-490,75,High,Low accrual; High-severity data quality issues; Completion date approaching
STUDY049,RHEUM-2025-049,Polypharmacy Monitoring for Polypharmacy Monitoring,polypharmacy monitoring,Completed,263,7,0.0266,0,0,4,4,-394,85,High,Low accrual; High-severity data quality issues; Completion date approaching
STUDY050,RHEUM-2025-050,Comparative Effectiveness in Telemedicine Follow-Up,telemedicine follow-up,Closed to Accrual,53,4,0.0755,0,0,0,0,-381,55,Medium,Low accrual; Completion date approaching
STUDY051,RHEUM-2022-051,Comparative Effectiveness in Gout,gout,Active,234,7,0.0299,0,2,1,1,8,95,High,Low accrual; Delayed milestones; High-severity data quality issues; Completion date approaching
STUDY052,RHEUM-2025-052,Comparative Effectiveness in Telemedicine Follow-Up,telemedicine follow-up,Active,49,2,0.0408,0,0,0,0,-518,55,Medium,Low accrual; Completion date approaching
STUDY053,RHEUM-2024-053,Care Coordination in Lupus,lupus,Completed,118,1,0.0085,0,0,0,0,-247,55,Medium,Low accrual; Completion date approaching
STUDY054,RHEUM-2025-054,Patient Education Strategies for Gout,gout,Completed,98,6,0.0612,0,0,0,0,-787,55,Medium,Low accrual; Completion date approaching
STUDY055,RHEUM-2022-055,Digital Workflow for Chronic Inflammatory Disease,chronic inflammatory disease,Completed,164,5,0.0305,0,1,0,0,-751,75,High,Low accrual; Delayed milestones; Completion date approaching
STUDY056,RHEUM-2024-056,Pragmatic Care Delivery for Chronic Inflammatory Disease,chronic inflammatory disease,Pending Activation,299,5,0.0167,0,1,1,1,-483,95,High,Low accrual; Delayed milestones; High-severity data quality issues; Completion date approaching
STUDY057,RHEUM-2022-057,Care Coordination in Technology-Enabled Care Delivery,technology-enabled care delivery,Completed,130,5,0.0385,0,1,1,1,271,80,High,Low accrual; Delayed milestones; High-severity data quality issues
STUDY058,RHEUM-2024-058,Infection Prevention Among Patients With Chronic Inflammatory Disease,chronic inflammatory disease,Pending Activation,84,4,0.0476,1,1,0,0,330,80,High,Low accrual; Pending JIT; Delayed milestones
STUDY059,RHEUM-2023-059,Pragmatic Care Delivery for Infection Prevention,infection prevention,Suspended,133,2,0.015,0,1,0,0,-372,75,High,Low accrual; Delayed milestones; Completion date approaching
STUDY060,RHEUM-2024-060,Digital Workflow for Inflammatory Arthritis,inflammatory arthritis,Closed to Accrual,83,1,0.012,1,0,0,1,-189,75,High,Low accrual; Pending JIT; Completion date approaching
STUDY061,RHEUM-2025-061,Infection Prevention Among Patients With Polypharmacy Monitoring,polypharmacy monitoring,Active,153,3,0.0196,0,0,1,1,-494,75,High,Low accrual; High-severity data quality issues; Completion date approaching
STUDY062,RHEUM-2023-062,Pragmatic Care Delivery for Inflammatory Arthritis,inflammatory arthritis,Suspended,209,3,0.0144,0,0,3,3,132,60,Medium,Low accrual; High-severity data quality issues
STUDY063,RHEUM-2025-063,Digital Workflow for Inflammatory Arthritis,inflammatory arthritis,Pending Activation,134,5,0.0373,0,1,0,0,35,75,High,Low accrual; Delayed milestones; Completion date approaching
STUDY064,RHEUM-2025-064,Pragmatic Care Delivery for Inflammatory Arthritis,inflammatory arthritis,Active,191,5,0.0262,0,1,1,1,-791,95,High,Low accrual; Delayed milestones; High-severity data quality issues; Completion date approaching
STUDY065,RHEUM-2023-065,Polypharmacy Monitoring for Inflammatory Arthritis,inflammatory arthritis,Active,189,7,0.037,0,0,0,0,-570,55,Medium,Low accrual; Completion date approaching
STUDY066,RHEUM-2025-066,Pragmatic Care Delivery for Gout,gout,Suspended,134,3,0.0224,0,0,0,0,153,40,Medium,Low accrual
STUDY067,RHEUM-2025-067,Comparative Effectiveness in Gout,gout,Completed,195,5,0.0256,1,1,1,1,-1041,100,High,Low accrual; Pending JIT; Delayed milestones; High-severity data quality issues; Completion date approaching
STUDY068,RHEUM-2022-068,Pragmatic Care Delivery for Polypharmacy Monitoring,polypharmacy monitoring,Closed to Accrual,270,3,0.0111,0,0,1,1,-976,75,High,Low accrual; High-severity data quality issues; Completion date approaching
STUDY069,RHEUM-2025-069,Pragmatic Care Delivery for Inflammatory Arthritis,inflammatory arthritis,Completed,148,4,0.027,2,1,0,0,-194,95,High,Low accrual; Pending JIT; Delayed milestones; Completion date approaching
STUDY070,RHEUM-2022-070,Medication Safety for Osteoporosis,osteoporosis,Active,270,3,0.0111,0,2,1,1,-187,95,High,Low accrual; Delayed milestones; High-severity data quality issues; Completion date approaching
STUDY071,RHEUM-2025-071,Patient Education Strategies for Inflammatory Arthritis,inflammatory arthritis,Active,159,3,0.0189,0,1,0,0,615,60,Medium,Low accrual; Delayed milestones
STUDY072,RHEUM-2023-072,Polypharmacy Monitoring for Technology-Enabled Care Delivery,technology-enabled care delivery,Completed,70,8,0.1143,0,0,2,3,-223,75,High,Low accrual; High-severity data quality issues; Completion date approaching
STUDY073,RHEUM-2024-073,Infection Prevention Among Patients With Infection Prevention,infection prevention,Closed to Accrual,292,10,0.0342,0,0,0,0,-751,55,Medium,Low accrual; Completion date approaching
STUDY074,RHEUM-2022-074,Telemedicine Follow-Up in Technology-Enabled Care Delivery,technology-enabled care delivery,Active,50,2,0.04,0,0,0,0,-426,55,Medium,Low accrual; Completion date approaching
STUDY075,RHEUM-2022-075,Polypharmacy Monitoring for Osteoporosis,osteoporosis,Closed to Accrual,291,4,0.0137,1,1,1,1,247,100,High,Low accrual; Pending JIT; Delayed milestones; High-severity data quality issues
STUDY076,RHEUM-2024-076,Telemedicine Follow-Up in Technology-Enabled Care Delivery,technology-enabled care delivery,Suspended,293,6,0.0205,0,0,1,1,-737,75,High,Low accrual; High-severity data quality issues; Completion date approaching
STUDY077,RHEUM-2025-077,Infection Prevention Among Patients With Polypharmacy Monitoring,polypharmacy monitoring,Pending Activation,246,3,0.0122,1,1,0,1,-136,95,High,Low accrual; Pending JIT; Delayed milestones; Completion date approaching
STUDY078,RHEUM-2025-078,Patient Education Strategies for Technology-Enabled Care Delivery,technology-enabled care delivery,Suspended,144,5,0.0347,0,1,0,0,-350,75,High,Low accrual; Delayed milestones; Completion date approaching
STUDY079,RHEUM-2023-079,Infection Prevention Among Patients With Inflammatory Arthritis,inflammatory arthritis,Completed,47,4,0.0851,1,0,1,3,-296,95,High,Low accrual; Pending JIT; High-severity data quality issues; Completion date approaching
STUDY080,RHEUM-2022-080,Infection Prevention Among Patients With Lupus,lupus,Pending Activation,179,5,0.0279,0,0,1,2,144,60,Medium,Low accrual; High-severity data quality issues
STUDY081,RHEUM-2025-081,Polypharmacy Monitoring for Lupus,lupus,Closed to Accrual,109,3,0.0275,0,2,1,1,-60,95,High,Low accrual; Delayed milestones; High-severity data quality issues; Completion date approaching
STUDY082,RHEUM-2025-082,Digital Workflow for Telemedicine Follow-Up,telemedicine follow-up,Closed to Accrual,290,5,0.0172,0,0,1,1,-980,75,High,Low accrual; High-severity data quality issues; Completion date approaching
STUDY083,RHEUM-2025-083,Polypharmacy Monitoring for Telemedicine Follow-Up,telemedicine follow-up,Pending Activation,162,6,0.037,0,1,0,0,-643,75,High,Low accrual; Delayed milestones; Completion date approaching
STUDY084,RHEUM-2023-084,Telemedicine Follow-Up in Technology-Enabled Care Delivery,technology-enabled care delivery,Completed,58,5,0.0862,2,0,0,2,159,60,Medium,Low accrual; Pending JIT
STUDY085,RHEUM-2024-085,Care Coordination in Gout,gout,Completed,119,3,0.0252,0,0,0,0,-632,55,Medium,Low accrual; Completion date approaching
STUDY086,RHEUM-2024-086,Comparative Effectiveness in Telemedicine Follow-Up,telemedicine follow-up,Pending Activation,289,5,0.0173,0,1,2,2,-771,95,High,Low accrual; Delayed milestones; High-severity data quality issues; Completion date approaching
STUDY087,RHEUM-2022-087,Digital Workflow for Lupus,lupus,Active,91,5,0.0549,0,1,0,0,-260,75,High,Low accrual; Delayed milestones; Completion date approaching
STUDY088,RHEUM-2024-088,Telemedicine Follow-Up in Rheumatoid Arthritis,rheumatoid arthritis,Pending Activation,114,1,0.0088,1,2,0,1,-326,95,High,Low accrual; Pending JIT; Delayed milestones; Completion date approaching
STUDY089,RHEUM-2025-089,Medication Safety for Chronic Inflammatory Disease,chronic inflammatory disease,Closed to Accrual,163,3,0.0184,0,0,0,0,-361,55,Medium,Low accrual; Completion date approaching
STUDY090,RHEUM-2023-090,Digital Workflow for Lupus,lupus,Suspended,120,5,0.0417,0,1,1,1,212,80,High,Low accrual; Delayed milestones; High-severity data quality issues
STUDY091,RHEUM-2024-091,Comparative Effectiveness in Chronic Inflammatory Disease,chronic inflammatory disease,Completed,287,4,0.0139,0,1,0,0,-801,75,High,Low accrual; Delayed milestones; Completion date approaching
STUDY092,RHEUM-2025-092,Pragmatic Care Delivery for Chronic Inflammatory Disease,chronic inflammatory disease,Suspended,44,2,0.0455,0,0,0,0,-944,55,Medium,Low accrual; Completion date approaching
STUDY093,RHEUM-2022-093,Digital Workflow for Chronic Inflammatory Disease,chronic inflammatory disease,Completed,137,5,0.0365,0,0,0,0,457,40,Medium,Low accrual
STUDY094,RHEUM-2023-094,Remote Monitoring for Gout,gout,Closed to Accrual,107,6,0.0561,1,0,0,1,123,60,Medium,Low accrual; Pending JIT
STUDY095,RHEUM-2024-095,Patient Education Strategies for Technology-Enabled Care Delivery,technology-enabled care delivery,Closed to Accrual,179,6,0.0335,0,1,1,1,-1490,95,High,Low accrual; Delayed milestones; High-severity data quality issues; Completion date approaching
STUDY096,RHEUM-2025-096,Care Coordination in Inflammatory Arthritis,inflammatory arthritis,Completed,243,4,0.0165,0,2,1,1,-805,95,High,Low accrual; Delayed milestones; High-severity data quality issues; Completion date approaching
STUDY097,RHEUM-2022-097,Digital Workflow for Technology-Enabled Care Delivery,technology-enabled care delivery,Pending Activation,174,7,0.0402,0,1,1,1,111,80,High,Low accrual; Delayed milestones; High-severity data quality issues
STUDY098,RHEUM-2024-098,Patient Education Strategies for Gout,gout,Closed to Accrual,72,3,0.0417,0,0,2,2,183,60,Medium,Low accrual; High-severity data quality issues
STUDY099,RHEUM-2024-099,Medication Safety for Technology-Enabled Care Delivery,technology-enabled care delivery,Suspended,89,4,0.0449,0,0,1,1,372,60,Medium,Low accrual; High-severity data quality issues
STUDY100,RHEUM-2023-100,Telemedicine Follow-Up in Technology-Enabled Care Delivery,technology-enabled care delivery,Suspended,90,1,0.0111,0,1,0,0,-374,75,High,Low accrual; Delayed milestones; Completion date approaching
